Episode,Loss,Epsilon,WinRandom,WinChampion
79100,0.6112,0.1000,,
79150,0.4360,0.1000,,
79200,0.4884,0.1000,,
79250,0.5183,0.1000,,
79250,0.5183,0.1000,78.0%,
79300,0.4644,0.1000,,
79350,0.4127,0.1000,,
79400,0.5264,0.1000,,
79450,0.5404,0.1000,,
79500,0.4448,0.1000,,
79500,0.4448,0.1000,99.0%,
79550,0.6347,0.1000,,
79600,0.7484,0.1000,,
79650,0.6495,0.1000,,
79700,0.4352,0.1000,,
79750,0.4643,0.1000,,
79750,0.4643,0.1000,87.0%,
79800,0.5235,0.1000,,
79850,0.5168,0.1000,,
79900,0.6666,0.1000,,
79950,0.5659,0.1000,,
80000,0.4124,0.1000,,
80000,0.4124,0.1000,95.0%,
80000,0.4124,0.1000,,Promoted
80050,0.4059,0.1000,,
80100,0.4655,0.1000,,
80150,0.7156,0.1000,,
80200,0.6293,0.1000,,
80250,0.6129,0.1000,,
80250,0.6129,0.1000,94.0%,
80300,0.8122,0.1000,,
80350,0.5953,0.1000,,
80400,0.4044,0.1000,,
80450,0.4162,0.1000,,
80500,0.3243,0.1000,,
80500,0.3243,0.1000,98.0%,
80550,0.4412,0.1000,,
80600,0.6638,0.1000,,
80650,0.5539,0.1000,,
80700,0.6246,0.1000,,
80750,0.6741,0.1000,,
80750,0.6741,0.1000,78.0%,
80800,0.5133,0.1000,,
80850,0.5465,0.1000,,
80900,0.5583,0.1000,,
80950,0.3803,0.1000,,
81000,0.3667,0.1000,,
81000,0.3667,0.1000,84.0%,
81000,0.3667,0.1000,,Failed
81050,0.5590,0.1000,,
81100,0.5519,0.1000,,
81150,0.4096,0.1000,,
81200,0.3700,0.1000,,
81250,0.5576,0.1000,,
81250,0.5576,0.1000,86.0%,
81300,0.6558,0.1000,,
81350,0.5572,0.1000,,
81400,0.5357,0.1000,,
81450,0.5280,0.1000,,
81500,0.5130,0.1000,,
81500,0.5130,0.1000,70.0%,
81550,0.5155,0.1000,,
81600,0.4224,0.1000,,
81650,0.3501,0.1000,,
81700,0.4657,0.1000,,
81750,0.4800,0.1000,,
81750,0.4800,0.1000,73.0%,
81800,0.5277,0.1000,,
81850,0.5505,0.1000,,
81900,0.4637,0.1000,,
81950,0.4088,0.1000,,
82000,0.4234,0.1000,,
82000,0.4234,0.1000,78.0%,
82000,0.4234,0.1000,,Failed
82050,0.5290,0.1000,,
82100,0.6182,0.1000,,
82150,0.5916,0.1000,,
82200,0.4443,0.1000,,
82250,0.4001,0.1000,,
82250,0.4001,0.1000,55.0%,
82300,0.3817,0.1000,,
50,0.4949,0.9991,,
100,0.4250,0.9982,,
150,0.5236,0.9973,,
200,0.6121,0.9964,,
250,0.5830,0.9955,,
250,0.5830,0.9955,100.0%,
300,0.6678,0.9946,,
350,0.6499,0.9937,,
400,0.6249,0.9928,,
450,0.6797,0.9919,,
500,0.5677,0.9910,,
500,0.5677,0.9910,100.0%,
550,0.5420,0.9901,,
600,0.6934,0.9892,,
650,0.6873,0.9883,,
700,0.6483,0.9874,,
750,0.5277,0.9865,,
750,0.5277,0.9865,96.0%,
800,0.4527,0.9856,,
850,0.4792,0.9847,,
900,0.5383,0.9838,,
950,0.5185,0.9829,,
1000,0.4680,0.9820,,
1000,0.4680,0.9820,100.0%,
1000,0.4680,0.9820,,Failed
1050,0.4561,0.9811,,
1100,0.4774,0.9802,,
1150,0.5426,0.9793,,
1200,0.5587,0.9784,,
1250,0.4776,0.9775,,
1250,0.4776,0.9775,100.0%,
1300,0.4566,0.9766,,
1350,0.4363,0.9757,,
1400,0.3306,0.9748,,
1450,0.5252,0.9739,,
1500,0.5364,0.9730,,
1500,0.5364,0.9730,100.0%,
1550,0.4301,0.9721,,
1600,0.4852,0.9712,,
1650,0.5709,0.9703,,
1700,0.6704,0.9694,,
1750,0.6051,0.9685,,
1750,0.6051,0.9685,91.0%,
1800,0.5802,0.9676,,
1850,0.4371,0.9667,,
1900,0.3260,0.9658,,
1950,0.4429,0.9649,,
2000,0.4367,0.9640,,
2000,0.4367,0.9640,98.0%,
2000,0.4367,0.9640,,Failed
2050,0.3736,0.9631,,
2100,0.4166,0.9622,,
2150,0.4532,0.9613,,
2200,0.5127,0.9604,,
2250,0.6068,0.9595,,
2250,0.6068,0.9595,96.0%,
2300,0.7075,0.9586,,
2350,0.6746,0.9577,,
2400,0.6621,0.9568,,
2450,0.4856,0.9559,,
2500,0.3090,0.9550,,
2500,0.3090,0.9550,95.0%,
2550,0.4261,0.9541,,
2600,0.4871,0.9532,,
2650,0.4788,0.9523,,
