Episode,Loss,Epsilon,WinRandom,WinChampion
9650,5.1356,0.8263,,
9700,5.2185,0.8254,,
9750,4.9568,0.8245,,
9800,4.6497,0.8236,,
9850,4.9546,0.8227,,
9900,4.8984,0.8218,,
9950,4.5500,0.8209,,
10000,4.7524,0.8200,,
10000,4.7524,0.8200,1.0,
10050,4.8922,0.8191,,
10100,4.7993,0.8182,,
10150,4.5528,0.8173,,
10200,4.8235,0.8164,,
10250,5.1138,0.8155,,
10300,5.0725,0.8146,,
10350,5.3449,0.8137,,
10400,5.0612,0.8128,,
10450,4.9392,0.8119,,
